A,T,rl_no_obs,smc_no_obs,rl_obs,smc_obs
0.512913086,4.928571429,-11.70042227,-2.932169447,-0.467153843,-2.932169447
0.512913086,5.142857143,-12.06829685,-2.890328949,-0.402478457,-2.890328949
0.512913086,5.357142857,-12.52239996,-2.866574003,-0.360936456,-2.866574003
0.512913086,5.571428571,-13.45211917,-2.869347289,-0.33064494,-2.869347289
0.512913086,5.785714286,-13.75916044,-2.890014442,-0.309825566,-2.890014442
0.512913086,6,-13.37348649,-2.911853233,-0.337558482,-2.911853233
0.530722568,3,-7.31197309,-2.467031545,-1.315338511,-2.467031545
0.530722568,3.214285714,-8.671351914,-2.842777579,-0.92457396,-2.842777579
0.530722568,3.428571429,-14.6986709,-3.261408917,-0.617175197,-3.261408917
0.530722568,3.642857143,-17.5738966,-3.40685993,-0.54429838,-3.40685993
0.530722568,3.857142857,-16.50064785,-3.376949452,-0.581887265,-3.376949452
0.530722568,4.071428571,-13.92267791,-3.287218481,-0.593955267,-3.287218481
0.530722568,4.285714286,-13.04001377,-3.142314895,-0.583987174,-3.142314895
0.530722568,4.5,-11.29877808,-3.052599745,-0.58419164,-3.052599745
0.530722568,4.714285714,-11.08017442,-3.009666299,-0.53933364,-3.009666299
0.530722568,4.928571429,-11.20203307,-2.962972629,-0.493592732,-2.962972629
0.530722568,5.142857143,-11.8120594,-2.917817015,-0.419387922,-2.917817015
0.530722568,5.357142857,-12.47795271,-2.8922181,-0.371286448,-2.8922181
0.530722568,5.571428571,-12.13286807,-2.894616824,-0.337141163,-2.894616824
0.530722568,5.785714286,-13.39982955,-2.915946262,-0.3263845,-2.915946262
0.530722568,6,-14.08933898,-2.939207614,-0.336029075,-2.939207614
0.548532051,3,-6.266966543,-2.500084939,-1.38636624,-2.500084939
0.548532051,3.214285714,-9.627520471,-2.885185404,-0.957875509,-2.885185404
0.548532051,3.428571429,-14.24379943,-3.315879997,-0.661521829,-3.315879997
0.548532051,3.642857143,-19.78038894,-3.463474453,-0.565516601,-3.463474453
0.548532051,3.857142857,-16.80893791,-3.430966459,-0.581951846,-3.430966459
0.548532051,4.071428571,-14.97718532,-3.336768206,-0.606044057,-3.336768206
0.548532051,4.285714286,-13.57084721,-3.1848771,-0.597105574,-3.1848771
0.548532051,4.5,-12.28861746,-3.090687515,-0.579942819,-3.090687515
0.548532051,4.714285714,-11.65273491,-3.0451306,-0.557229922,-3.0451306
0.548532051,4.928571429,-12.0720867,-2.994846349,-0.506188167,-2.994846349
0.548532051,5.142857143,-11.3506313,-2.946241109,-0.44240818,-2.946241109
0.548532051,5.357142857,-13.04444582,-2.91881728,-0.374871709,-2.91881728
0.548532051,5.571428571,-13.07191861,-2.920894913,-0.340010735,-2.920894913
0.548532051,5.785714286,-14.80242139,-2.942802202,-0.332435801,-2.942802202
0.548532051,6,-13.5897169,-2.967540488,-0.36551752,-2.967540488
0.566341533,3,-8.13494882,-2.535547423,-1.474792151,-2.535547423
0.566341533,3.214285714,-9.5508659,-2.929804141,-1.008759328,-2.929804141
0.566341533,3.428571429,-15.50771679,-3.372308226,-0.708266049,-3.372308226
0.566341533,3.642857143,-19.94503237,-3.521939471,-0.60037828,-3.521939471
0.566341533,3.857142857,-15.36900164,-3.486841565,-0.627131493,-3.486841565
0.566341533,4.071428571,-15.2128697,-3.387909378,-0.645945608,-3.387909378
0.566341533,4.285714286,-13.82256496,-3.228993426,-0.60929742,-3.228993426
0.566341533,4.5,-11.96035411,-3.130283767,-0.635857628,-3.130283767
0.566341533,4.714285714,-11.48682564,-3.08188347,-0.611699008,-3.08188347
0.566341533,4.928571429,-12.14058895,-3.027783285,-0.500555861,-3.027783285
0.566341533,5.142857143,-11.7179781,-2.975583662,-0.466099975,-2.975583662
0.566341533,5.357142857,-12.33281804,-2.946351743,-0.390260504,-2.946351743
0.566341533,5.571428571,-13.4273665,-2.948168085,-0.356422394,-2.948168085
0.566341533,5.785714286,-14.62622066,-2.970575426,-0.350497359,-2.970575426
0.566341533,6,-14.36363726,-2.996848204,-0.379317096,-2.996848204
0.584151015,3,-7.248034684,-2.573424498,-1.58335691,-2.573424498
0.584151015,3.214285714,-9.071664816,-2.976626813,-1.078740158,-2.976626813
0.584151015,3.428571429,-15.90302438,-3.430679572,-0.72156007,-3.430679572
0.584151015,3.642857143,-20.27532923,-3.582254962,-0.634290976,-3.582254962
0.584151015,3.857142857,-17.48115314,-3.544589437,-0.67817571,-3.544589437
0.584151015,4.071428571,-14.94328963,-3.440644749,-0.685529904,-3.440644749
0.584151015,4.285714286,-14.20967697,-3.274657373,-0.652027077,-3.274657373
0.584151015,4.5,-12.96501153,-3.171389325,-0.644955082,-3.171389325
0.584151015,4.714285714,-11.1583008,-3.119933335,-0.59418946,-3.119933335
0.584151015,4.928571429,-11.5081431,-3.061779716,-0.53381885,-3.061779716
0.584151015,5.142857143,-12.33058332,-3.005831214,-0.480239962,-3.005831214
0.584151015,5.357142857,-13.05004743,-2.974798039,-0.401599474,-2.974798039
0.584151015,5.571428571,-13.64611712,-2.976425685,-0.366390744,-2.976425685
0.584151015,5.785714286,-14.00382103,-2.999263088,-0.36100135,-2.999263088
0.584151015,6,-13.5451486,-3.027123158,-0.376731549,-3.027123158
0.601960497,3,-6.562685601,-2.613723249,-1.639136929,-2.613723249
0.601960497,3.214285714,-8.289671178,-3.02564764,-1.126067714,-3.02564764
0.601960497,3.428571429,-16.86685137,-3.490982623,-0.756119015,-3.490982623
0.601960497,3.642857143,-22.82968418,-3.644422889,-0.656174859,-3.644422889
0.601960497,3.857142857,-16.8181354,-3.604223202,-0.72702368,-3.604223202
0.601960497,4.071428571,-16.29729864,-3.494979407,-0.724179664,-3.494979407
0.601960497,4.285714286,-14.34962466,-3.321859855,-0.675690595,-3.321859855
0.601960497,4.5,-12.89430695,-3.214003159,-0.697970488,-3.214003159
0.601960497,4.714285714,-12.49708841,-3.159290542,-0.625116679,-3.159290542
0.601960497,4.928571429,-11.61186568,-3.096830644,-0.554539881,-3.096830644
0.601960497,5.142857143,-12.76402442,-3.036971194,-0.502421676,-3.036971194
0.601960497,5.357142857,-13.39156723,-3.004138039,-0.417748736,-3.004138039
0.601960497,5.571428571,-14.71008672,-3.005650368,-0.37830863,-3.005650368
0.601960497,5.785714286,-14.30078649,-3.028860031,-0.365450235,-3.028860031
0.601960497,6,-14.49431647,-3.058365048,-0.389824634,-3.058365048
0.619769979,3,-8.050759117,-2.656449913,-1.664642847,-2.656449913
0.619769979,3.214285714,-7.742132885,-3.076860657,-1.216130497,-3.076860657
0.619769979,3.428571429,-18.15492944,-3.553202268,-0.795792825,-3.553202268
0.619769979,3.642857143,-22.23377435,-3.708446689,-0.674767736,-3.708446689
0.619769979,3.857142857,-19.74836318,-3.665749531,-0.735203802,-3.665749531
0.619769979,4.071428571,-16.45605348,-3.550917698,-0.752650015,-3.550917698
0.619769979,4.285714286,-14.03278382,-3.370597399,-0.73759538,-3.370597399
0.619769979,4.5,-13.36173887,-3.258120512,-0.69101287,-3.258120512
0.619769979,4.714285714,-12.24187404,-3.199966114,-0.658471511,-3.199966114
0.619769979,4.928571429,-13.22878312,-3.132937153,-0.573359361,-3.132937153
0.619769979,5.142857143,-12.71471554,-3.068991939,-0.521923898,-3.068991939
0.619769979,5.357142857,-14.8390002,-3.034358862,-0.435977642,-3.034358862
0.619769979,5.571428571,-14.86548816,-3.035827563,-0.387795507,-3.035827563
0.619769979,5.785714286,-14.34890882,-3.059365071,-0.385826502,-3.059365071
0.619769979,6,-14.64736545,-3.090568819,-0.410449384,-3.090568819
0.637579461,3,-7.467141781,-2.701612458,-1.725934352,-2.701612458
0.637579461,3.214285714,-9.255742604,-3.130261733,-1.264212316,-3.130261733
0.637579461,3.428571429,-16.85752961,-3.6173295,-0.842873235,-3.6173295
0.637579461,3.642857143,-23.7037346,-3.774330168,-0.723399651,-3.774330168
0.637579461,3.857142857,-20.7708473,-3.729172183,-0.774763268,-3.729172183
0.637579461,4.071428571,-15.51726519,-3.608468067,-0.788428981,-3.608468067
0.637579461,4.285714286,-14.62633127,-3.420867753,-0.742407508,-3.420867753
0.637579461,4.5,-12.73032075,-3.303731138,-0.729995554,-3.303731138
